Number of Contributors,Reside in US,Age,Relationship Status,Country,Currency Used,Financially Independent,FI Number,Percent of FI Amount,Amount to Retire,Target Safe Withdrawal Rate,Annual Income [Supplemental Sources],Retired Annual Spending,FI Number [Retired],Retired,Intended Retirement Age,Work if FI,Annual Withdrawal Rate,Annual Withdrawal Amount,Working Industry,Employer Type,Job Role,Full Time Employment,"Part Time, Regular Employment","Part Time, Irregular Employement",Not Employed,Housing Situation,Cost of Living Index,Total Assets,Total Debt,Annual Expenses,Total Income,Year
2,Yes,44-48,Married,,USD,Yes,,,,,,,1000000.0,No,49-53,Partially,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,For Myself (Self-Employed),,Own,61-70,3748000.0,360000.0,22200.0,280000.0,2020
1,Yes,29-33,"Single, never married",,USD,No,3000000.0,10.0,3000000.0,3.0,0.0,60000.0,,,39-43,No,,,Information Technology,Public corporation,Consultant,For an Organization (Employed),,,,Live with family or friends,81-90,321000.0,20000.0,161200.0,155000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,1500000.0,33.0,1500000.0,2.0,15000.0,40000.0,,,34-38,Yes,,,Utilities,Public agency,Professional (licensed / certificated),For an Organization (Employed),,,,Live with partner in their house ,81-90,500000.0,0.0,100500.0,120000.0,2020
2,Yes,34-38,Married,,USD,No,10000000.0,25.0,60.0,3.6,300000.0,50000.0,,,59-63,No,,,Professional & Business Services,Public corporation,Management - Middle / Lower,For an Organization (Employed),,,,Own,91-100,5385000.0,2560000.0,614200.0,650000.0,2020
2,Yes,29-33,Married,,USD,No,2300000.0,87.0,3000000.0,3.5,0.0,70000.0,,,34-38,Undecided,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Live with family or friends,61-70,1921000.0,1900.0,0.0,,2020
2,Yes,59-63,Married,,USD,No,2000000.0,93.0,1900000.0,3.5,32000.0,62000.0,,,59-63,Partially,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Own,71-80,2160000.0,0.0,18400.0,140000.0,2020
2,Yes,18-23,"Single, never married",,USD,No,1500000.0,8.0,3000000.0,3.5,3500.0,57000.0,,,39-43,Partially,,,Manufacturing,Private corporation,General Labor,For an Organization (Employed),,,,Rent,21-30,155000.0,20000.0,9830.0,150000.0,2020
2,Yes,29-33,Married,,USD,No,1750000.0,23.0,2250000.0,3.5,10000.0,78000.0,,,49-53,Undecided,,,Financial Services,Private corporation,Management - Upper,For an Organization (Employed),,,,Own,71-80,611500.0,139002.0,159001.0,185000.0,2020
2,Yes,24-28,"In a relationship, but not married",,USD,No,1800000.0,13.0,2000000.0,3.0,3000.0,65000.0,,,39-43,Partially,,,Financial Services,Private corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Own,61-70,765000.0,200000.0,72750.0,110000.0,2020
1,Yes,34-38,"In a relationship, but not married",,USD,No,1200000.0,40.0,,3.0,0.0,36000.0,,,44-48,Partially,,,Professional & Business Services,Self-employed,Professional (licensed / certificated),For Myself (Self-Employed),,For Myself (Self-Employed),,Rent,91-100,478000.0,0.0,92200.0,98000.0,2020
1,Yes,24-28,"Single, never married",,USD,No,550000.0,52.0,550000.0,4.0,10000.0,16000.0,,,29-33,Partially,,,Other Services,Private corporation,Skilled Laborer / Skilled Trade,,For an Organization (Employed),For Myself (Self-Employed),,Live with family or friends,81-90,283200.0,0.0,3090.0,45500.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,2000000.0,23.0,3000000.0,3.5,,100000.0,,,34-38,Partially,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Live with family or friends,81-90,612000.0,0.0,227425.0,240000.0,2020
2,Yes,29-33,"In a relationship, but not married",,USD,No,1500000.0,47.8,1500000.0,3.5,4000.0,30000.0,,,34-38,Yes,,,Information Technology,Private corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Own,61-70,1170000.0,155000.0,113000.0,190000.0,2020
1,Yes,29-33,Married,,USD,No,1750000.0,1.0,1750000.0,3.25,25000.0,54000.0,,,54-58,Partially,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Own,,611957.0,575345.0,98966.0,135000.0,2020
2,Yes,24-28,Married,,USD,No,2500000.0,13.0,2500000.0,4.0,,100000.0,,,49-53,Partially,,,Financial Services,Private corporation,Information Technology,For an Organization (Employed),,,,Rent,91-100,371000.0,40000.0,187350.0,275000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,2500000.0,10.0,2500000.0,3.5,0.0,70000.0,,,34-38,Yes,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Rent,81-90,260000.0,20000.0,194700.0,199000.0,2020
1,Yes,34-38,"In a relationship, but not married",,USD,No,1000000.0,21.0,1000000.0,6.0,48000.0,60000.0,,,54-58,Partially,,,Healthcare,Public corporation,Professional (licensed / certificated),For an Organization (Employed),For an Organization (Employed),,,Own,61-70,1250000.0,780500.0,74340.0,117000.0,2020
1,Yes,18-23,"Single, never married",,USD,No,2500000.0,5.0,2500000.0,4.0,,100000.0,,,29-33,Partially,,,Media,Public corporation,Information Technology,For an Organization (Employed),,,,Live with family or friends,61-70,148000.0,26500.0,35350.0,130000.0,2020
2,Yes,29-33,Married,,USD,No,2000000.0,75.0,3000000.0,3.0,,75000.0,,,34-38,Undecided,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Own,81-90,1622000.0,92000.0,305000.0,375000.0,2020
2,Yes,29-33,Married,,USD,No,2000000.0,10.0,2500000.0,4.0,,100000.0,,,44-48,Partially,,,Manufacturing,Public corporation,Program Staff,For an Organization (Employed),,,,Own,71-80,565000.0,295500.0,121400.0,145000.0,2020
1,Yes,34-38,Married,,USD,Yes,,,,,,,2000000.0,No,39-43,No,,,Information Technology,Public corporation,Management - Middle / Lower,For an Organization (Employed),,,,Live with family or friends,81-90,2430000.0,0.0,69000.0,650000.0,2020
1,Yes,24-28,"Single, never married",,USD,No,500000.0,28.0,750000.0,3.0,40000.0,25000.0,,,29-33,Partially,,,Healthcare,Private corporation,Management - Middle / Lower,For an Organization (Employed),For Myself (Self-Employed),For Myself (Self-Employed),,Live with family or friends,61-70,217500.0,0.0,6800.0,55000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,2000000.0,30.0,2000000.0,3.5,0.0,70000.0,,,34-38,Partially,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Rent,81-90,1089567.0,292600.0,268420.0,307000.0,2020
2,Yes,29-33,"In a relationship, but not married",,USD,No,5500000.0,23.0,6000000.0,3.0,40000.0,150000.0,,,44-48,Undecided,,,Financial Services,Private corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,91-100,1335000.0,0.0,540200.0,525000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,2000000.0,20.0,2500000.0,4.0,25000.0,60000.0,,,49-53,No,,,Other Services,Public corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Own,61-70,478000.0,120000.0,68000.0,85000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,,,,,50000.0,,,,64-68,Undecided,,,Financial Services,Private corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Rent,61-70,28500.0,6000.0,80604.0,55000.0,2020
1,Yes,39-43,Married,,USD,No,1200000.0,50.0,1200000.0,3.7,12000.0,45000.0,,,44-48,Partially,,,Transportation,Private corporation,Professional (licensed / certificated),For an Organization (Employed),,,,,91-100,610000.0,0.0,1500.0,,2020
1,Yes,24-28,"Single, never married",,USD,No,800000.0,30.0,800000.0,4.0,,20000.0,,,29-33,Partially,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Rent,81-90,212000.0,300.0,17000.0,105000.0,2020
2,Yes,39-43,Married,,USD,No,2500000.0,50.0,4500000.0,4.0,50000.0,150000.0,,,59-63,No,,,Financial Services,Private corporation,Consultant,For an Organization (Employed),,,,Own,71-80,1616000.0,236000.0,184000.0,229000.0,2020
2,Yes,44-48,Married,,USD,Yes,,,,,,,3000000.0,No,49-53,Yes,,,Healthcare,Nonprofit corporation,Professional (licensed / certificated),,For an Organization (Employed),,,Own,71-80,8730000.0,0.0,32000.0,130000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,500000.0,29.0,700000.0,4.0,20000.0,30000.0,,,34-38,Undecided,,,Information Technology,Private corporation,Consultant,For an Organization (Employed),,,,Rent,61-70,151000.0,0.0,73900.0,75000.0,2020
1,Yes,24-28,"Single, never married",,USD,No,10000000.0,4.0,10000000.0,3.0,0.0,300000.0,,,49-53,Partially,,,Information Technology,Private corporation,Management - Middle / Lower,For an Organization (Employed),,,,Rent,91-100,400000.0,0.0,200700.0,170000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,1250000.0,1.0,1250000.0,4.0,50000.0,40000.0,,,49-53,Partially,,,Financial Services,Private corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,81-90,19000.0,15000.0,52650.0,55000.0,2020
2,Yes,29-33,Married,,USD,No,1666667.0,37.0,1666667.0,3.0,37000.0,50000.0,,,34-38,Yes,,,Public Administration (Civilian Government),Public agency,Professional (licensed / certificated),For an Organization (Employed),,,,Own,61-70,1227300.0,0.0,324250.0,322000.0,2020
1,Yes,24-28,"Single, never married",,USD,No,,,,4.0,,42000.0,,,54-58,Undecided,,,Professional & Business Services,Private corporation,Management - Middle / Lower,For an Organization (Employed),,,,Rent,61-70,23300.0,0.0,40117.0,45700.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,2500000.0,8.0,2500000.0,3.5,87000.0,70000.0,,,44-48,Undecided,,,Professional & Business Services,Public corporation,Management - Middle / Lower,For an Organization (Employed),,,,Rent,71-80,203000.0,0.0,121660.0,145000.0,2020
1,Yes,24-28,"Single, never married",,USD,No,2000000.0,25.0,2500000.0,3.5,0.0,80000.0,,,39-43,Undecided,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Live with family or friends,61-70,555000.0,0.0,8900.0,195000.0,2020
1,Yes,29-33,"Single, never married",,USD,No,625000.0,66.0,800000.0,4.0,30000.0,24000.0,,,34-38,No,,,Public Administration (Civilian Government),Private corporation,Program Staff,For an Organization (Employed),For an Organization (Employed),For Myself (Self-Employed),,Own,71-80,634200.0,30000.0,96300.0,110000.0,2020
1,Yes,29-33,"Single, never married",,USD,No,1500000.0,23.0,1500000.0,4.0,18000.0,60000.0,,,34-38,Undecided,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Rent,61-70,344601.0,0.0,198277.0,194013.0,2020
1,Yes,34-38,"Single, never married",,USD,Yes,,,,,,,913125.0,No,Undecided,Undecided,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Live with family or friends,81-90,1878000.0,1500.0,115630.0,350000.0,2020
1,Yes,29-33,"In a relationship, but not married",,USD,Yes,,,,,,,750000.0,No,29-33,Partially,,,Natural Resources,Public corporation,"Professional (non-licensed, certified)",,,,,Rent,61-70,820000.0,0.0,160000.0,160000.0,2020
2,Yes,29-33,Married,,USD,No,1500000.0,55.0,2000000.0,3.5,5000.0,50000.0,,,Undecided,No,,,Leisure & Hospitality,Self-employed,Customer Service,,,"For an Organization (Employed), For Myself (Self-Employed)",,Rent,81-90,762000.0,0.0007,231900.0002,160000.0,2020
2,Yes,34-38,Married,,USD,No,2000000.0,25.0,3000000.0,3.5,40000.0,100000.0,,,54-58,Undecided,,,Healthcare,Private corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,For Myself (Self-Employed),,Own,61-70,830000.0,250000.0,107075.0,204000.0,2020
1,Yes,29-33,Married,,USD,No,2000000.0,20.0,2000000.0,4.0,36000.0,80000.0,,,54-58,Yes,,,Utilities,Public corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Own,71-80,775000.0,320000.0,62000.0,140000.0,2020
1,Yes,24-28,"Single, never married",,USD,No,2500000.0,10.0,4000000.0,3.5,,87500.0,,,49-53,Yes,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Rent,91-100,265920.0,2079.0,168195.18,198516.0,2020
2,Yes,29-33,Married,,USD,No,,,,,,40000.0,,,Undecided,Partially,,,Information Technology,Private corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,71-80,412000.0,0.0,221400.0,212000.0,2020
1,Yes,24-28,"Single, never married",,USD,No,1200000.0,15.0,1500000.0,3.25,15000.0,40000.0,,,39-43,Yes,,,Manufacturing,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,71-80,162000.0,15500.0,128200.0,115000.0,2020
1,Yes,24-28,"Single, never married",,USD,No,1750000.0,1.8,2500000.0,4.0,30000.0,85000.0,,,44-48,Partially,,,"Agriculture, Forestry, Fishing",Public agency,Consultant,For an Organization (Employed),,,,Live with family or friends,61-70,42000.0,300.0,20200.0,18000.0,2020
1,Yes,18-23,"Single, never married",,USD,No,1000000.0,5.0,2000000.0,3.5,100000.0,80000.0,,,54-58,Yes,,,Education,Private corporation,Customer Service,,For an Organization (Employed),,,Rent,101-110,6900.0,0.0,9200.0,6500.0,2020
1,Yes,24-28,"Single, never married",,USD,Yes,,,,,120000.0,70000.0,,,39-43,Partially,,,Information Technology,Public agency,Professional (licensed / certificated),,For an Organization (Employed),For Myself (Self-Employed),,Rent,71-80,0.0,12000.0,39750.0,50000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,2000000.0,7.0,3000000.0,4.0,100000.0,75000.0,,,44-48,Partially,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Rent,91-100,229000.0,0.0,90000.0,130000.0,2020
1,Yes,24-28,"Single, never married",,USD,No,800000.0,27.0,2200000.0,5.0,0.0,36000.0,,,34-38,Yes,,,Professional & Business Services,Private corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Live with family or friends,81-90,223000.0,500.0,13780.0,53000.0,2020
2,Yes,44-48,Married,,USD,No,3000000.0,43.0,5000000.0,3.0,48000.0,80000.0,,,54-58,No,,,Manufacturing,Private corporation,Information Technology,For an Organization (Employed),,,,Own,71-80,1438500.0,0.0,21000.0,230000.0,2020
1,Yes,39-43,Married,,USD,No,1500000.0,75.0,1500000.0,3.5,95000.0,30000.0,,,39-43,Partially,,,Information Technology,Private corporation,Management - Middle / Lower,For an Organization (Employed),,,,Own,61-70,1550000.0,275000.0,57000.0,220000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,1800000.0,3.0,1800000.0,3.5,80000.0,80000.0,,,39-43,Undecided,,,Manufacturing,Public corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Own,71-80,410000.0,354000.0,39900.0,75000.0,2020
2,Yes,34-38,Married,,USD,No,1929000.0,23.0,1929000.0,4.0,5400.0,65000.0,,,59-63,Undecided,,,Professional & Business Services,Self-employed,Consultant,For Myself (Self-Employed),,,,Own,71-80,705632.0,204000.0,152900.0,195000.0,2020
1,Yes,29-33,"Single, never married",,USD,No,1250000.0,40.0,1250000.0,3.0,1200.0,40000.0,,,44-48,Partially,,,Manufacturing,Private corporation,Skilled Laborer / Skilled Trade,,,,"For an Organization (Employed), For Myself (Self-Employed)",Rent,81-90,495000.0,0.0,86000.0,105000.0,2020
2,Yes,29-33,Married,,USD,No,2000000.0,7.5,2000000.0,4.0,80000.0,75000.0,,,54-58,Partially,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,For Myself (Self-Employed),,Own,81-90,487000.0,270000.0,132000.0,165000.0,2020
2,Yes,24-28,Married,,USD,No,1500000.0,12.0,3000000.0,4.5,15000.0,60000.0,,,44-48,Undecided,,,Professional & Business Services,Self-employed,Administrative staff,For Myself (Self-Employed),,,,Rent,51-60,110000.0,0.0,0.0,,2020
1,Yes,34-38,Married,,USD,No,3500000.0,70.0,5000000.0,3.0,,100000.0,,,49-53,Yes,,,Financial Services,Public corporation,Consultant,For an Organization (Employed),,,,Own,81-90,2660000.0,135000.0,260000.0,260000.0,2020
2,Yes,39-43,Married,,USD,No,3000000.0,20.0,3000000.0,4.0,5000.0,100000.0,,,54-58,Partially,,,Professional & Business Services,Private corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Own,71-80,1242000.0,408000.0,86950.0,198000.0,2020
1,Yes,39-43,"In a relationship, but not married",,USD,No,1500000.0,27.0,1500000.0,4.0,20000.0,60000.0,,,54-58,Yes,,,Professional & Business Services,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Own,71-80,634100.0,170000.0,88215.0,88823.0,2020
1,Yes,34-38,"Single, never married",,USD,No,1000000.0,50.0,2000000.0,3.5,6000.0,80000.0,,,39-43,Partially,,,Healthcare,Nonprofit corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Own,61-70,818000.0,0.0,146400.0,130000.0,2020
,Yes,18-23,"In a relationship, but not married",,USD,No,1500000.0,10.0,150000.0,3.5,10000.0,40000.0,,,39-43,Yes,,,Information Technology,Nonprofit corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,41-50,140000.0,0.0,18600.0,90000.0,2020
2,Yes,24-28,Married,,USD,No,2000000.0,3.0,3000000.0,4.0,0.0,80000.0,,,49-53,Partially,,,Manufacturing,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,61-70,76000.0,33000.0,72528.0,130000.0,2020
2,Yes,29-33,"In a relationship, but not married",,USD,No,1250000.0,10.0,1100000.0,3.85,18000.0,40000.0,,,54-58,Yes,,,Financial Services,Private corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Own,61-70,437500.0,210000.0,69210.0,85000.0,2020
1,Yes,24-28,"Single, never married",,USD,No,900000.0,9.0,1250000.0,3.0,0.0,30000.0,,,49-53,Partially,,,Manufacturing,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,51-60,110410.0,0.0,75560.0,76000.0,2020
2,Yes,34-38,Married,,USD,Yes,,,,,,,5000000.0,No,Undecided,Partially,,,Information Technology,Public corporation,Management - Middle / Lower,For an Organization (Employed),,,,Own,71-80,8557000.0,750000.0,312600.0,350000.0,2020
1,Yes,29-33,"Single, never married",,USD,No,5000000.0,25.0,4000000.0,3.0,30000.0,125000.0,,,49-53,Yes,,,Professional & Business Services,Public corporation,Management - Middle / Lower,For an Organization (Employed),,,,Rent,101-110,1330000.0,128000.0,278550.0,298000.0,2020
1,Yes,29-33,"Single, never married",,USD,No,,,,,,,,,Undecided,Undecided,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Rent,81-90,170000.0,0.0,8900.0,150000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,2500000.0,10.0,2500000.0,4.0,6000.0,100000.0,,,44-48,Yes,,,Manufacturing,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,91-100,270000.0,0.0,118100.0,110000.0,2020
